Time [s],Capacitor voltage [V]
0.4089905266,0.529357
0.4090173266,0.530536
0.4090442266,0.526582
0.4090711266,0.527727
0.4090980266,0.527299
0.4091248266,0.52713
0.4091517266,0.52992
0.4091786266,0.53054
0.4092056266,0.527228
0.4092325266,0.528242
0.4092592266,0.524089
0.4092859266,0.528527
0.4093127266,0.525321
0.4093394266,0.529372
0.4093662266,0.532012
0.4093930266,0.529616
0.4094197266,0.529094
0.4094465266,0.527356
0.4094733266,0.530382
0.4095001266,0.527848
0.4095269266,0.529331
0.4095537266,0.524697
0.4095805266,0.530472
0.4096073266,0.529188
0.4096341266,0.529458
0.4096609266,0.529023
0.4096878266,0.529661
0.4097146266,0.528471
0.4097414266,0.530652
0.4097683266,0.529586
0.4097951266,0.527003
0.4098220266,0.529263
0.4098489266,0.527465
0.4098757266,0.526631
0.4099026266,0.526177
0.4099295266,0.530307
0.4099564266,0.526139
0.4099832266,0.529098
0.4100101266,0.530652
0.4100370266,0.526072
0.4100640266,0.52912
0.4100908266,0.528951
0.4101175266,0.526124
0.4101443266,0.526597
0.4101710266,0.525471
0.4101978266,0.529946
0.4102245266,0.52742
0.4102513266,0.526823
0.4102781266,0.52772
0.4103049266,0.527788
0.4103316266,0.529169
0.4103584266,0.526661
0.4103852266,0.526935
0.4104120266,0.530468
0.4104388266,0.528306
0.4104656266,0.527198
0.4104925266,0.529271
0.4105193266,0.527007
0.4105461266,0.530427
0.4105729266,0.529977
0.4105998266,0.530172
0.4106266266,0.528565
0.4106535266,0.527589
0.4106803266,0.52906
0.4107072266,0.526229
0.4107341266,0.528933
0.4107609266,0.530161
0.4107878266,0.526184
0.4108147266,0.529969
0.4108416266,0.527142
0.4108685266,0.529451
0.4108954266,0.52802
0.4109223266,0.527502
0.4109492266,0.527735
0.4109759266,0.528137
0.4110027266,0.527746
0.4110294266,0.529218
0.4110562266,0.528696
0.4110829266,0.527866
0.4111097266,0.527322
0.4111365266,0.527746
0.4111632266,0.528043
0.4111900266,0.525948
0.4112168266,0.526526
0.4112436266,0.52864
0.4112704266,0.527581
0.4112972266,0.526928
0.4113240266,0.52855
0.4113508266,0.526796
0.4113777266,0.526218
0.4114045266,0.526297
0.4114313266,0.529162
0.4114582266,0.52944
0.4114850266,0.53093
0.4115119266,0.526286
0.4115387266,0.52704
0.4115656266,0.529624
0.4115925266,0.530712
0.4116193266,0.527085
0.4116462266,0.529526
0.4116731266,0.531527
0.4117000266,0.529594
0.4117269266,0.529841
0.4117538266,0.527228
0.4117807266,0.526541
0.4118076266,0.524998
0.4118343266,0.528936
0.4118610266,0.530314
0.4118878266,0.527498
0.4119146266,0.529218
0.4119413266,0.527435
0.4119681266,0.527818
0.4119949266,0.527938
0.4120216266,0.527472
0.4120484266,0.525854
0.4120752266,0.52564
0.4121020266,0.52742
0.4121288266,0.53039
0.4121556266,0.53013
0.4121824266,0.530037
0.4122092266,0.528336
0.4122361266,0.529135
0.4122629266,0.528674
0.4122897266,0.530262
0.4123166266,0.527513
0.4123434266,0.52802
0.4123703266,0.525895
0.4123971266,0.527266
0.4124240266,0.528118
0.4124509266,0.52748
0.4124777266,0.52852
0.4125046266,0.527866
0.4125315266,0.529522
0.4125584266,0.530284
0.4125853266,0.526924
0.4126122266,0.529169
0.4126391266,0.528711
0.4126659266,0.529117
0.4126927266,0.530442
0.4127194266,0.526627
0.4127462266,0.528204
0.4127729266,0.530284
0.4127997266,0.528666
0.4128265266,0.528764
0.4128532266,0.529413
0.4128800266,0.528794
0.4129068266,0.529575
0.4129336266,0.527453
0.4129604266,0.52956
0.4129872266,0.525929
0.4130140266,0.526248
0.4130408266,0.527314
0.4130676266,0.52698
0.4130945266,0.523222
0.4131213266,0.527589
0.4131481266,0.5279
0.4131750266,0.525835
0.4132018266,0.52772
0.4132287266,0.526038
0.4132555266,0.528734
0.4132824266,0.529612
0.4133093266,0.526669
0.4133361266,0.527502
0.4133630266,0.527889
0.4133899266,0.527059
0.4134168266,0.530025
